2025-03-12T20:31:32.115Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: radix, Tamanho do conjunto de dados: 10000, Dados lidos: 40920,26105,84011,93986,38904,22519,53414,145,2200..., Números convertidos: 10000 elementos, Tempo de execução: 11ms, Comparações: 10044, Trocas: 50000
2025-03-12T20:31:35.196Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: shell, Tamanho do conjunto de dados: 10000, Dados lidos: 40920,26105,84011,93986,38904,22519,53414,145,2200..., Números convertidos: 10000 elementos, Tempo de execução: 9ms, Comparações: 159673, Trocas: 159673
2025-03-12T20:32:17.139Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: shell, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 6ms, Comparações: 143990, Trocas: 143990
2025-03-12T20:32:22.009Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: shell, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 7ms, Comparações: 143990, Trocas: 143990
2025-03-12T20:32:25.662Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 54ms, Comparações: 25165936, Trocas: 25155937
2025-03-12T20:32:54.454Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 8ms, Comparações: 151365, Trocas: 64512
2025-03-12T20:33:34.029Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 223ms, Comparações: 49995000, Trocas: 25155937
2025-03-12T20:33:36.176Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: bubble-improved, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 239ms, Comparações: 49988895, Trocas: 25155937
2025-03-12T20:34:21.991Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 54ms, Comparações: 25165936, Trocas: 25155937
2025-03-12T20:34:32.579Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: selection, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 79ms, Comparações: 49995000, Trocas: 9991
2025-03-12T20:34:40.572Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 9ms, Comparações: 151365, Trocas: 64512
2025-03-12T20:34:46.688Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: tim, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 8ms, Comparações: 136656, Trocas: 47806
2025-03-13T12:50:01.568Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 7ms, Comparações: 499500, Trocas: 259423
2025-03-13T12:51:12.349Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 6ms, Comparações: 499500, Trocas: 259423
2025-03-13T12:51:18.076Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 260422, Trocas: 259423
2025-03-13T12:51:32.047Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 3ms, Comparações: 10714, Trocas: 4765
2025-03-13T13:16:17.824Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 7ms, Comparações: 499500, Trocas: 259423
2025-03-13T13:16:19.323Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 8ms, Comparações: 499500, Trocas: 259423
2025-03-13T13:16:35.643Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 3ms, Comparações: 10714, Trocas: 4765
2025-03-13T13:16:41.792Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 11ms, Comparações: 151365, Trocas: 64512
2025-03-13T13:16:46.551Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 66ms, Comparações: 25165936, Trocas: 25155937
2025-03-13T13:16:53.603Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: merge, Tamanho do conjunto de dados: 10000, Dados lidos: 38922,44344,1466,53685,47528,70310,24505,75916,782..., Números convertidos: 10000 elementos, Tempo de execução: 9ms, Comparações: 120392, Trocas: 133616
2025-03-13T13:21:30.020Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 17840,76079,44820,21677,12530,71028,55387,92338,37..., Números convertidos: 1000 elementos, Tempo de execução: 8ms, Comparações: 499500, Trocas: 259423
2025-03-13T13:34:42.316Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 7ms, Comparações: 499500, Trocas: 251874
2025-03-13T13:34:45.575Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: selection, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 499500, Trocas: 993
2025-03-13T13:34:48.121Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: heap, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 5ms, Comparações: 19196, Trocas: 9098
2025-03-13T13:34:58.749Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 10833, Trocas: 4685
2025-03-13T13:35:01.391Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 252873, Trocas: 251874
2025-03-13T13:35:04.073Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: radix, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 2ms, Comparações: 1044, Trocas: 5000
2025-03-13T13:35:07.640Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: counting, Tamanho do conjunto de dados: 1000, Dados lidos: 35730,7361,93560,7246,51507,67692,44498,29904,7551..., Números convertidos: 1000 elementos, Tempo de execução: 5ms, Comparações: 100948, Trocas: 1000
2025-03-13T13:35:29.707Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 237ms, Comparações: 49995000, Trocas: 24918034
2025-03-13T13:35:32.042Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: bubble-improved, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 274ms, Comparações: 49993674, Trocas: 24918034
2025-03-13T13:35:33.856Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 68ms, Comparações: 24928033, Trocas: 24918034
2025-03-13T13:35:36.197Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: selection, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 94ms, Comparações: 49995000, Trocas: 9988
2025-03-13T13:35:38.192Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 11ms, Comparações: 152736, Trocas: 67252
2025-03-13T13:35:40.344Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: merge, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 11ms, Comparações: 120451, Trocas: 133616
2025-03-13T13:35:45.307Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: tim, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 8ms, Comparações: 136287, Trocas: 47412
2025-03-13T13:35:48.204Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: heap, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 10ms, Comparações: 258294, Trocas: 124147
2025-03-13T13:35:51.790Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: counting, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 7ms, Comparações: 109998, Trocas: 10000
2025-03-13T13:35:54.996Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: radix, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 20ms, Comparações: 10044, Trocas: 50000
2025-03-13T13:35:57.371Z - Lendo arquivo: src/data/numbers_10000.txt, Algoritmo: shell, Tamanho do conjunto de dados: 10000, Dados lidos: 96683,30989,96090,48604,40193,98456,54471,5136,450..., Números convertidos: 10000 elementos, Tempo de execução: 11ms, Comparações: 153110, Trocas: 153110
